,gs,cs_range,ccount,bias,0
0,0.93,37.5,0.698970004336019,1,0.08442724
1,0.77,37.5,1.14612803567824,1,0.099540114
2,0.76,37.5,0.7781512503836441,1,0.103962064
3,0.71,37.5,1.0,1,0.11498582
4,0.6,37.5,1.07918124604762,1,0.16994393
5,0.58,37.5,1.32221929473392,1,0.17885363
6,0.49,37.5,0.8450980400142571,1,0.2678982
7,0.47,37.5,0.698970004336019,1,0.2947209
8,0.45,37.5,1.6232492903979001,1,0.30559897
9,0.42,37.5,1.3617278360175902,1,0.35963833
10,0.39,37.5,0.8450980400142571,1,0.4315771
11,0.39,37.5,1.43136376415899,1,0.4223144
12,0.38,37.5,1.0,1,0.45380914
13,0.37,37.5,0.8450980400142571,1,0.48402762
14,0.35,37.5,1.11394335230684,1,0.54292977
15,0.35,37.5,1.32221929473392,1,0.54011124
16,0.3,37.5,0.698970004336019,1,0.78508353
17,0.27,37.5,1.44715803134222,1,0.99081284
18,0.25,37.5,0.6020599913279621,1,1.2362247
19,0.25,37.5,0.8450980400142571,1,1.2203332
20,0.25,37.5,1.44715803134222,1,1.1967157
21,0.23,37.5,0.9542425094393249,1,1.4942174
22,0.23,37.5,1.0,1,1.4908872
23,0.21,37.5,0.7781512503836441,1,1.8388987
24,0.21,37.5,1.65321251377534,1,1.8028665
25,0.21,37.5,1.04139268515823,1,1.8228905
26,0.2,37.5,1.14612803567824,1,1.9929533
27,0.2,37.5,1.65321251377534,1,1.9872513
28,0.2,37.5,0.698970004336019,1,2.013145
29,0.18,37.5,1.44715803134222,1,2.3623466
30,0.18,37.5,0.698970004336019,1,2.3610144
31,0.18,37.5,0.698970004336019,1,2.3610144
32,0.18,37.5,1.0,1,2.3560085
33,0.18,37.5,1.30102999566398,1,2.3583121
34,0.18,37.5,1.30102999566398,1,2.3583121
35,0.18,37.5,1.20411998265592,1,2.3567166
36,0.18,37.5,1.07918124604762,1,2.3558693
37,0.18,37.5,1.14612803567824,1,2.3561573
38,0.18,37.5,1.5314789170422598,1,2.3656068
39,0.17,37.5,0.6020599913279621,1,2.5422578
40,0.17,37.5,0.6020599913279621,1,2.5422578
41,0.17,37.5,0.7781512503836441,1,2.540433
42,0.16,37.5,0.6020599913279621,1,2.7248578
43,0.16,37.5,1.49136169383427,1,2.7639742
44,0.16,37.5,0.9030899869919442,1,2.7293973
45,0.15,37.5,1.0,1,2.929201
46,0.15,37.5,0.7781512503836441,1,2.9178314
47,0.15,37.5,1.07918124604762,1,2.934523
48,0.15,37.5,1.1760912590556798,1,2.9419932
49,0.15,37.5,1.43136376415899,1,2.967011
50,0.14,37.5,1.6020599913279598,1,3.2099533
51,0.14,37.5,1.38021124171161,1,3.175486
52,0.14,37.5,1.5440680443502801,1,3.2002454
53,0.14,37.5,0.6020599913279621,1,3.1050582
54,0.14,37.5,1.0,1,3.13205
55,0.14,37.5,0.6020599913279621,1,3.1050582
56,0.14,37.5,1.04139268515823,1,3.135892
57,0.14,37.5,1.23044892137827,1,3.156138
58,0.13,37.5,1.11394335230684,1,3.3564334
59,0.13,37.5,0.7781512503836441,1,3.3182106
60,0.13,37.5,1.76342799356294,1,3.476591
61,0.13,37.5,1.5910646070265002,1,3.438078
62,0.13,37.5,1.5185139398778897,1,3.4233785
63,0.13,37.5,0.9030899869919442,1,3.3307452
64,0.12,37.5,1.07918124604762,1,3.5718894
65,0.12,37.5,1.25527250510331,1,3.6034498
66,0.12,37.5,1.30102999566398,1,3.612455
67,0.12,37.5,1.14612803567824,1,3.5833216
68,0.12,37.5,0.6020599913279621,1,3.508852
69,0.11,37.5,0.698970004336019,1,3.734241
70,0.11,37.5,0.8450980400142571,1,3.7561698
71,0.11,37.5,0.7781512503836441,1,3.7458124
72,0.11,37.5,0.6020599913279621,1,3.721075
73,0.11,37.5,1.30102999566398,1,3.8408232
74,0.11,37.5,0.698970004336019,1,3.734241
75,0.11,37.5,1.14612803567824,1,3.8092942
76,0.11,37.5,1.4623979978989599,1,3.876698
77,0.1,37.5,1.5051499783199098,1,4.1050673
78,0.1,37.5,0.698970004336019,1,3.9440126
79,0.1,37.5,0.7781512503836441,1,3.9565473
80,0.1,37.5,1.0,1,3.9954367
81,0.1,37.5,1.04139268515823,1,4.003312
82,0.09,37.5,1.34242268082221,1,4.275239
83,0.09,37.5,1.5910646070265002,1,4.337313
84,0.09,37.5,1.55630250076729,1,4.3286314
85,0.09,37.5,0.6020599913279621,1,4.12882
86,0.09,37.5,0.8450980400142571,1,4.170073
87,0.08,37.5,0.698970004336019,1,4.3387027
88,0.08,37.5,1.25527250510331,1,4.4574475
89,0.08,37.5,0.9030899869919442,1,4.3781486
90,0.08,37.5,0.6020599913279621,1,4.3216
91,0.08,37.5,1.3617278360175902,1,4.482906
92,0.08,37.5,1.3617278360175902,1,4.482906
93,0.08,37.5,0.8450980400142571,1,4.3664637
94,0.07,37.5,0.8450980400142571,1,4.5597177
